Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042104~positive regulation of activated T cell proliferation	4	0.03243330900835158	2.0935799685910584E-4	JAK3, CD24A, SLAMF1, IL2	89	24	18082	33.86142322097378	0.1384985153603585	0.1384985153603585	0.31597595526067224
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	9	0.07297494526879104	2.708818685618721E-4	IL17A, CCL20, NCF1, SEMA7A, IL17F, NOS2, IL24, IGFBP4, LTA	89	344	18082	5.315455970734257	0.17543064043889012	0.09194198447394897	0.4086541581869829
GOTERM_BP_DIRECT	GO:0006955~immune response	8	0.06486661801670315	3.627056893312325E-4	TNFSF11, CCL20, IL9, IRF8, IL24, CD24A, LTA, IL2	89	272	18082	5.975545274289491	0.22763133364908317	0.08249547325784523	0.5468258824351646
GOTERM_BP_DIRECT	GO:0048535~lymph node development	4	0.03243330900835158	4.111899829308069E-4	TNFSF11, JAK3, IL7R, LTA	89	30	18082	27.08913857677903	0.25384914135333847	0.07059145564050573	0.6197102972787971
GOTERM_BP_DIRECT	GO:0044130~negative regulation of growth of symbiont in host	3	0.024324981756263683	0.0042027496325116095	IRF8, LBP, LTA	89	20	18082	30.475280898876402	0.9501463456016624	0.45104164446329575	6.167425798711912
GOTERM_BP_DIRECT	GO:0008203~cholesterol metabolic process	4	0.03243330900835158	0.009359527816310236	APP, CYP11A1, PCTP, LIPE	89	89	18082	9.131170306779447	0.9987633703726231	0.672377836038385	13.249567303557598
GOTERM_BP_DIRECT	GO:0050830~defense response to Gram-positive bacterium	4	0.03243330900835158	0.010547422165983235	APP, NCF1, LBP, LTA	89	93	18082	8.738431798960976	0.9994737054994762	0.6599019680167015	14.808645353234972
GOTERM_BP_DIRECT	GO:0071345~cellular response to cytokine stimulus	3	0.024324981756263683	0.01121081437620202	SOCS1, NOS2, JAK3	89	33	18082	18.469867211440246	0.9996735324481133	0.6333683082249227	15.6679024742449
GOTERM_BP_DIRECT	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I	3	0.024324981756263683	0.013251150194135083	H2-Q10, H2-Q6, H2-Q7	89	36	18082	16.93071161048689	0.9999249899021913	0.6519192787354873	18.26019113986509
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	5	0.040541636260439474	0.014131481863814162	NCF1, IRF8, LBP, NOS2, ANXA3	89	191	18082	5.31854814989117	0.9999602692375072	0.6369949306436753	19.355526127567245
GOTERM_BP_DIRECT	GO:0072537~fibroblast activation	2	0.01621665450417579	0.01453001495232002	IL17A, RGCC	89	3	18082	135.44569288389513	0.9999702078586157	0.6122474149321526	19.846872162178563
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	9	0.07297494526879104	0.017077903158103667	KDM6A, ALDH1L1, ME2, CYP11A1, UTY, RSAD1, NOS2, KDM5C, KDM5D	89	676	18082	2.704906588657669	0.9999952837361175	0.6401403321932865	22.922659850992634
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	5	0.040541636260439474	0.01902962893397771	CCL20, IRF8, LBP, NOS2, IL24	89	209	18082	4.860491371431643	0.9999988545032059	0.6508600631051147	25.203824710906286
GOTERM_BP_DIRECT	GO:2001199~negative regulation of dendritic cell differentiation	2	0.01621665450417579	0.019326815587980103	TMEM176B, TMEM176A	89	4	18082	101.58426966292134	0.9999990767875295	0.6293618506319534	25.545592037705276
GOTERM_BP_DIRECT	GO:0002232~leukocyte chemotaxis involved in inflammatory response	2	0.01621665450417579	0.019326815587980103	LBP, SLAMF1	89	4	18082	101.58426966292134	0.9999990767875295	0.6293618506319534	25.545592037705276
GOTERM_BP_DIRECT	GO:0097286~iron ion import	2	0.01621665450417579	0.019326815587980103	TFRC, TIMD2	89	4	18082	101.58426966292134	0.9999990767875295	0.6293618506319534	25.545592037705276
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	11	0.08919159977296684	0.022535638210890933	IL17A, APP, ACVRL1, TNFSF11, THRA, IL17F, RGCC, YAP1, JAK3, MYB, IL2	89	995	18082	2.24608435435605	0.9999999104916372	0.6610588950545565	29.144052396885222
GOTERM_BP_DIRECT	GO:0032729~positive regulation of interferon-gamma production	3	0.024324981756263683	0.026528911011065828	IRF8, LTA, IL2	89	52	18082	11.721261884183232	0.9999999951469218	0.6977431999228043	33.395453758181674
GOTERM_BP_DIRECT	GO:0006909~phagocytosis	3	0.024324981756263683	0.026528911011065828	IRF8, SLAMF1, ANXA3	89	52	18082	11.721261884183232	0.9999999951469218	0.6977431999228043	33.395453758181674
GOTERM_BP_DIRECT	GO:0006413~translational initiation	3	0.024324981756263683	0.028451659664588493	EIF2S3X, EIF2S3Y, DDX3Y	89	54	18082	11.287141073657926	0.9999999988124199	0.7014753677605491	35.35639972868619
GOTERM_BP_DIRECT	GO:0071557~histone H3-K27 demethylation	2	0.01621665450417579	0.0335791492480689	KDM6A, UTY	89	7	18082	58.04815409309791	0.9999999999725591	0.7410330066166195	40.32539167413462
GOTERM_BP_DIRECT	GO:0072112~glomerular visceral epithelial cell differentiation	2	0.01621665450417579	0.0335791492480689	BASP1, CD24A	89	7	18082	58.04815409309791	0.9999999999725591	0.7410330066166195	40.32539167413462
GOTERM_BP_DIRECT	GO:0045730~respiratory burst	2	0.01621665450417579	0.0335791492480689	NCF1, CD24A	89	7	18082	58.04815409309791	0.9999999999725591	0.7410330066166195	40.32539167413462
GOTERM_BP_DIRECT	GO:0034720~histone H3-K4 demethylation	2	0.01621665450417579	0.0335791492480689	KDM5C, KDM5D	89	7	18082	58.04815409309791	0.9999999999725591	0.7410330066166195	40.32539167413462
GOTERM_BP_DIRECT	GO:0019221~cytokine-mediated signaling pathway	4	0.03243330900835158	0.03439945386967429	TNFSF11, SOCS2, SOCS1, JAK3	89	146	18082	5.566261351392951	0.9999999999850093	0.7306565505807457	41.086426889807925
GOTERM_BP_DIRECT	GO:0001878~response to yeast	2	0.01621665450417579	0.0382842687406923	APP, NCF1	89	8	18082	50.79213483146067	0.9999999999991503	0.7508486557782406	44.569038533563074
GOTERM_BP_DIRECT	GO:0042102~positive regulation of T cell proliferation	3	0.024324981756263683	0.03885525971725169	TFRC, JAK3, IL2	89	64	18082	9.523525280898877	0.9999999999994433	0.7391095706583184	45.064399903935524
GOTERM_BP_DIRECT	GO:0002376~immune system process	6	0.048649963512527365	0.039034356322078134	H2-Q10, LBP, JAK3, H2-Q7, SLAMF1, IL2	89	383	18082	3.182796960718162	0.9999999999995125	0.7243465039900412	45.21892088266234
GOTERM_BP_DIRECT	GO:0071223~cellular response to lipoteichoic acid	2	0.01621665450417579	0.04296673993474608	CCL20, LBP	89	9	18082	45.148564294631704	0.9999999999999737	0.7432164332833624	48.51111714211683
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	3	0.024324981756263683	0.043363471723661076	CCL20, NOS2, H2-Q7	89	68	18082	8.963317911434237	0.9999999999999805	0.7315728257829265	48.83279365624978
GOTERM_BP_DIRECT	GO:0040008~regulation of growth	3	0.024324981756263683	0.044519716808746744	SOCS2, SOCS1, IGFBP4	89	69	18082	8.833414753297507	0.9999999999999917	0.7266526555803112	49.759623320009595
GOTERM_BP_DIRECT	GO:0007617~mating behavior	2	0.01621665450417579	0.04762667059867353	APP, CYP11A1	89	10	18082	40.63370786516853	0.9999999999999992	0.7371887200721052	52.17304301015202
GOTERM_BP_DIRECT	GO:1900017~positive regulation of cytokine production involved in inflammatory response	2	0.01621665450417579	0.05687933889268571	IL17A, IL17F	89	12	18082	33.86142322097378	1.0	0.78653375850826	58.73460768030342
GOTERM_BP_DIRECT	GO:0001701~in utero embryonic development	5	0.040541636260439474	0.05814259677618795	KDM6A, ACVRL1, UTY, MYB, RCN1	89	299	18082	3.397467212806734	1.0	0.7819883631264267	59.56219916177068
GOTERM_BP_DIRECT	GO:0006779~porphyrin-containing compound biosynthetic process	2	0.01621665450417579	0.061472289539230666	SLC11A2, RSAD1	89	13	18082	31.25669835782195	1.0	0.7893658437820834	61.66990228511964
GOTERM_BP_DIRECT	GO:0043537~negative regulation of blood vessel endothelial cell migration	2	0.01621665450417579	0.061472289539230666	ACVRL1, RGCC	89	13	18082	31.25669835782195	1.0	0.7893658437820834	61.66990228511964
GOTERM_BP_DIRECT	GO:0010468~regulation of gene expression	5	0.040541636260439474	0.06343057997297985	KDM6A, APP, UTY, DDX3Y, MYB	89	308	18082	3.2981905734714725	1.0	0.7888706043361562	62.861122154522576
GOTERM_BP_DIRECT	GO:0001775~cell activation	2	0.01621665450417579	0.06604312569410087	CD24A, TIMP1	89	14	18082	29.024077046548953	1.0	0.7918031621307655	64.39654892745233
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	4	0.03243330900835158	0.06721402040479686	ACVRL1, NOS2, CD24A, LTA	89	192	18082	4.232677902621723	1.0	0.7873576729337477	65.06527868463033
GOTERM_BP_DIRECT	GO:0006878~cellular copper ion homeostasis	2	0.01621665450417579	0.07059195261928852	SLC11A2, APP	89	15	18082	27.08913857677903	1.0	0.793922958997218	66.92936845732325
GOTERM_BP_DIRECT	GO:0032695~negative regulation of interleukin-12 production	2	0.01621665450417579	0.07059195261928852	JAK3, SLAMF1	89	15	18082	27.08913857677903	1.0	0.793922958997218	66.92936845732325
GOTERM_BP_DIRECT	GO:0042060~wound healing	3	0.024324981756263683	0.07679398234850807	CCL20, IL24, TIMP1	89	94	18082	6.484102318909874	1.0	0.8123656198969095	70.11238396835999
GOTERM_BP_DIRECT	GO:0050832~defense response to fungus	2	0.01621665450417579	0.07962399735962505	IL17A, NCF1	89	17	18082	23.902181097157964	1.0	0.8150940130750934	71.46762405334799
GOTERM_BP_DIRECT	GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process	2	0.01621665450417579	0.08410742322288113	CCL20, JAK3	89	18	18082	22.574282147315852	1.0	0.8240578990480758	73.49773486957125
GOTERM_BP_DIRECT	GO:2000778~positive regulation of interleukin-6 secretion	2	0.01621665450417579	0.08410742322288113	IL17A, IL17F	89	18	18082	22.574282147315852	1.0	0.8240578990480758	73.49773486957125
GOTERM_BP_DIRECT	GO:0060749~mammary gland alveolus development	2	0.01621665450417579	0.08856925596938532	TNFSF11, SOCS2	89	19	18082	21.38616203429923	1.0	0.8321378192651934	75.38350183394247
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	4	0.03243330900835158	0.09122593313574492	GPR83, IL17A, IL17F, CD24A	89	219	18082	3.7108409009286336	1.0	0.833430595624634	76.44601768674654
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	4	0.03243330900835158	0.09217630012169681	NCF1, PIM1, YAP1, LTA	89	220	18082	3.6939734422880486	1.0	0.8288966736821999	76.81559333356343
GOTERM_BP_DIRECT	GO:0045780~positive regulation of bone resorption	2	0.01621665450417579	0.09300959841160111	TNFSF11, TFRC	89	20	18082	20.316853932584266	1.0	0.824074861696561	77.13518083783737
GOTERM_BP_DIRECT	GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity	3	0.024324981756263683	0.09574770909425653	TNFSF11, RGCC, ANXA3	89	107	18082	5.69631418670587	1.0	0.8258466239770084	78.15657363621641
GOTERM_BP_DIRECT	GO:0009887~organ morphogenesis	3	0.024324981756263683	0.09877315754279549	TNFSF11, THRA, TGM1	89	109	18082	5.591794660344294	1.0	0.8284736802762768	79.23552297547818
